#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.71498     2.13923   0.0440833
         169     1.71635     2.13672   0.0438934
         170     1.71776     2.13426   0.0437044
         171      1.7192     2.13183   0.0435161
         172     1.72064     2.12944   0.0433288
         173     1.72205     2.12709   0.0431422
         174      1.7234     2.12477   0.0429566
         175     1.72467     2.12248    0.042772
         176     1.72584     2.12023   0.0425883
         177     1.72686       2.118   0.0424056
         178     1.72772     2.11581    0.042224
         179      1.7284     2.11365   0.0420436
         180     1.72888     2.11151   0.0418643
         181     1.72913      2.1094   0.0416863
         182     1.72916     2.10731   0.0415095
         183     1.72895     2.10524   0.0413342
         184     1.72849     2.10319   0.0411602
         185      1.7278     2.10116   0.0409877
         186     1.72688     2.09915   0.0408167
         187     1.72573     2.09715   0.0406473
         188     1.72438     2.09517   0.0404794
         189     1.72284      2.0932   0.0403131
         190     1.72112     2.09124   0.0401485
         191     1.71926      2.0893   0.0399855
         192     1.71726     2.08736   0.0398242
         193     1.71517     2.08543   0.0396645
         194       1.713     2.08351   0.0395065
         195     1.71077      2.0816   0.0393501
         196     1.70852     2.07969   0.0391953
         197     1.70626      2.0778   0.0390422
         198     1.70403     2.07591   0.0388906
         199     1.70183     2.07403   0.0387406
         200      1.6997     2.07216    0.038592
         201     1.69764      2.0703    0.038445
         202     1.69568     2.06844   0.0382994
         203     1.69384      2.0666   0.0381551
         204     1.69212     2.06476   0.0380122
         205     1.69055     2.06294   0.0378706
         206     1.68913     2.06112   0.0377302
         207     1.68788     2.05932    0.037591
         208      1.6868     2.05753   0.0374529
         209      1.6859     2.05575   0.0373159
         210     1.68519     2.05398   0.0371799
         211     1.68469     2.05223   0.0370449
         212      1.6844      2.0505   0.0369108
         213     1.68433     2.04878   0.0367775
         214      1.6845     2.04708    0.036645
         215     1.68492     2.04539   0.0365132
         216     1.68559     2.04373   0.0363822
         217     1.68653     2.04208   0.0362517
         218     1.68776     2.04046   0.0361219
         219     1.68929     2.03885   0.0359925
         220     1.69112     2.03727   0.0358636
         221     1.69327     2.03572   0.0357351
         222     1.69575     2.03418   0.0356069
         223     1.69855     2.03268    0.035479
         224     1.70169      2.0312   0.0353514
         225     1.70516     2.02975    0.035224
         226     1.70895     2.02833   0.0350967
         227     1.71305     2.02694   0.0349695
         228     1.71744     2.02559   0.0348425
         229     1.72211     2.02426   0.0347156
         230     1.72703     2.02297   0.0345887
         231     1.73217     2.02171   0.0344618
         232     1.73749     2.02048   0.0343351
         233     1.74296     2.01929   0.0342083
         234     1.74854     2.01814   0.0340817
         235     1.75419     2.01701   0.0339552
         236     1.75986     2.01592   0.0338288
         237     1.76552     2.01487   0.0337026
