#   N_BLOCK:  ACCEPTANCE:
           1    0.523529
           2    0.524009
           3     0.52404
           4    0.523866
           5    0.523932
           6    0.523665
           7    0.523548
           8    0.523515
           9    0.523496
          10    0.523502
          11    0.523494
          12    0.523423
          13    0.523366
          14    0.523438
          15    0.523465
          16    0.523433
          17    0.523411
          18    0.523373
          19    0.523336
          20    0.523379
