#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.035836    0.035836           0
           2    0.033994    0.034915 0.000651245
           3    0.025106   0.0316453  0.00270474
           4    0.032064     0.03175  0.00203058
           5    0.028092   0.0310184  0.00175131
           6    0.028188   0.0305467  0.00152163
           7     0.03236   0.0308057  0.00132612
           8    0.026058   0.0302123  0.00128631
           9    0.032408   0.0304562   0.0011663
          10    0.019672   0.0293778  0.00146578
          11    0.024672     0.02895  0.00139355
          12    0.025976   0.0287022  0.00129928
          13    0.027804   0.0286331  0.00120117
          14    0.032936   0.0289404  0.00115402
          15    0.032624    0.029186  0.00110291
          16    0.026728   0.0290324  0.00104462
          17    0.030218   0.0291021 0.000985496
          18    0.025344   0.0288933 0.000952606
          19    0.033486   0.0291351 0.000932632
          20    0.022852   0.0288209 0.000937419
