#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.44747     1.44747           0
           2     1.43221     1.43984  0.00539722
           3     1.40487     1.42818   0.0101762
           4      1.4253     1.42746  0.00765751
           5     1.46699     1.43537  0.00935588
           6     1.40656     1.43057  0.00894385
           7     1.43271     1.43087  0.00767141
           8     1.46092     1.43463   0.0075763
           9     1.43474     1.43464   0.0067345
          10     1.42103     1.43328  0.00619718
          11     1.46144     1.43584  0.00613988
          12      1.4655     1.43831  0.00610539
          13      1.4395      1.4384  0.00563643
          14      1.4575     1.43977  0.00539631
          15     1.38698     1.43625  0.00607679
          16     1.44471     1.43678  0.00571997
          17     1.48093     1.43937  0.00594401
          18     1.44663     1.43978  0.00562745
          19     1.42152     1.43882  0.00541272
          20     1.45302     1.43953  0.00518848
