#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.207306    0.207306           0
           2     0.20972    0.208513  0.00085365
           3    0.206143    0.207723 0.000860172
           4    0.201479    0.206162  0.00149792
           5    0.202631    0.205456  0.00135462
           6    0.205299     0.20543   0.0011291
           7    0.205179    0.205394 0.000968369
           8    0.209203     0.20587 0.000957279
           9    0.205371    0.205815 0.000852522
          10    0.206382    0.205871 0.000769159
          11    0.201856    0.205506 0.000781077
          12    0.206475    0.205587 0.000720149
          13    0.201752    0.205292 0.000722647
          14    0.202609      0.2051  0.00069598
          15    0.203747     0.20501 0.000655407
          16    0.205096    0.205016 0.000614466
          17    0.204845    0.205006 0.000578403
          18    0.203262    0.204909 0.000554319
          19    0.201535    0.204731 0.000552855
          20    0.207589    0.204874 0.000543363
