#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892612   -0.892612           0
           2    -0.89126   -0.891936 0.000478004
           3   -0.893924   -0.892599 0.000627934
           4   -0.890476   -0.892068 0.000658027
           5   -0.887288   -0.891112  0.00100413
           6   -0.895808   -0.891895   0.0011003
           7   -0.885836   -0.891029  0.00123757
           8   -0.884768   -0.890247  0.00130713
           9   -0.896492    -0.89094  0.00133343
          10   -0.894696   -0.891316  0.00125186
          11   -0.893508   -0.891515   0.0011538
          12    -0.88974   -0.891367   0.0010671
          13   -0.891964   -0.891413 0.000985998
          14    -0.88806   -0.891174 0.000944213
          15   -0.890532   -0.891131 0.000882234
          16   -0.890612   -0.891099 0.000827691
          17   -0.900804   -0.891669 0.000955831
          18    -0.88764   -0.891446 0.000928573
          19   -0.891556   -0.891451 0.000879719
          20     -0.8916   -0.891459 0.000835764
