#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     25.5898     25.5898           0
           2      24.101     24.8454    0.526346
           3     24.9129     24.8679    0.351378
           4     24.4817     24.7713    0.276483
           5     22.4242     24.3019    0.474563
           6     26.3697     24.6465    0.505342
           7     20.9749      24.122    0.650719
           8     22.0657      23.865    0.618065
           9     26.7974     24.1908    0.629439
          10      24.652     24.2369    0.568183
          11     25.8017     24.3792     0.53404
          12     22.9849      24.263    0.502017
          13     25.1204     24.3289    0.467713
          14     21.7535      24.145    0.469089
          15     23.8289     24.1239     0.43829
          16     22.6458     24.0315     0.42052
          17     28.9782     24.3225    0.486142
          18       21.23     24.1507    0.488551
          19      24.064     24.1461    0.462859
          20     24.3424      24.156     0.43982
