#   N_BLOCK:  ACCEPTANCE:
           1    0.380882
           2    0.382044
           3     0.38173
           4    0.381372
           5    0.381486
           6    0.381501
           7    0.381575
           8    0.381612
           9    0.381867
          10    0.381483
          11    0.381536
          12    0.381446
          13    0.381387
          14    0.381527
          15    0.381502
          16    0.381532
          17    0.381607
          18    0.381542
          19    0.381524
          20    0.381562
