#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.312133    0.312133           0
           2    0.316973    0.314553  0.00171138
           3    0.314705    0.314604  0.00114167
           4    0.312429     0.31406 0.000977155
           5    0.313294    0.313907 0.000793655
           6    0.317153    0.314448 0.000825459
           7    0.322518    0.315601   0.0012805
           8    0.317578    0.315848  0.00114404
           9    0.318299     0.31612  0.00104885
          10    0.312557    0.315764  0.00100267
          11     0.32338    0.316456  0.00112546
          12    0.316241    0.316438  0.00103182
          13    0.322897    0.316935  0.00106536
          14    0.309664    0.316416  0.00110867
          15    0.315808    0.316375   0.0010355
          16    0.315214    0.316303 0.000973317
          17    0.320477    0.316548 0.000946524
          18    0.311354     0.31626 0.000936895
          19    0.314444    0.316164 0.000892445
          20    0.318378    0.316275  0.00085466
