#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      1.4487      1.4487           0
           2     1.40302     1.42586    0.016151
           3     1.42564     1.42578   0.0107675
           4     1.39125     1.41715    0.011005
           5     1.38784     1.41129   0.0102473
           6     1.41537     1.41197    0.008562
           7      1.4315     1.41476  0.00778027
           8     1.42007     1.41542  0.00683599
           9       1.444      1.4186  0.00677363
          10     1.41919     1.41866  0.00609652
          11     1.42839     1.41954  0.00560608
          12     1.44541      1.4217  0.00553786
          13      1.4024     1.42021  0.00530717
          14     1.40047      1.4188  0.00511193
          15     1.41892     1.41881  0.00477114
          16     1.42943     1.41947  0.00451887
          17     1.41363     1.41913  0.00426609
          18     1.45415     1.42108  0.00445069
          19     1.40844     1.42041  0.00426582
          20     1.42013      1.4204  0.00405255
