#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.033138    0.033138           0
           2    0.037842     0.03549  0.00166312
           3    0.043782    0.038254  0.00251445
           4    0.045024   0.0399465  0.00238847
           5    0.050202   0.0419976   0.0026489
           6    0.038882   0.0414783  0.00225774
           7    0.044062   0.0418474  0.00196514
           8    0.043962   0.0421118  0.00173719
           9    0.037258   0.0415724  0.00162572
          10     0.03689   0.0411042   0.0015291
          11    0.039562    0.040964   0.0013965
          12    0.044894   0.0412915  0.00131797
          13    0.035334   0.0408332  0.00129381
          14    0.031234   0.0401476  0.00137109
          15    0.035554   0.0398413  0.00131344
          16     0.04669   0.0402694  0.00129923
          17     0.04597   0.0406047  0.00126534
          18    0.036542    0.040379    0.001215
          19    0.045962   0.0406728  0.00118606
          20    0.037874   0.0405329  0.00113498
