#   N_BLOCK:  ACCEPTANCE:
           1    0.452078
           2    0.454047
           3     0.45379
           4    0.453911
           5    0.453829
           6    0.453969
           7    0.453921
           8    0.453955
           9    0.454104
          10    0.454032
          11    0.454071
          12    0.454028
          13    0.454114
          14    0.454203
          15    0.454208
          16    0.454158
          17    0.454104
          18    0.454024
          19    0.453893
          20    0.453879
