#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.386599    0.386599           0
           2    0.388013    0.387306 0.000499887
           3     0.37923    0.384614  0.00222312
           4    0.395269    0.387278  0.00284633
           5    0.384853    0.386793  0.00231799
           6     0.38781    0.386962  0.00193784
           7     0.38165    0.386203  0.00180349
           8    0.378082    0.385188  0.00184171
           9    0.385742     0.38525   0.0016381
          10    0.379205    0.384645  0.00158188
          11    0.377054    0.383955  0.00158147
          12    0.377381    0.383407  0.00154165
          13    0.383556    0.383419   0.0014231
          14    0.386737    0.383656  0.00134104
          15    0.381601    0.383519  0.00125862
          16    0.377964    0.383172  0.00122691
          17    0.386644    0.383376  0.00117161
          18    0.387289    0.383593  0.00112651
          19    0.391647    0.384017   0.0011442
          20    0.383879     0.38401  0.00108701
