#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.115776    0.115776           0
           2     0.12119    0.118483  0.00191414
           3    0.100134    0.112367  0.00515443
           4     0.08219    0.104822  0.00759147
           5    0.080544   0.0999668   0.0074663
           6     0.09312   0.0988257  0.00630852
           7     0.09299    0.097992  0.00546211
           8    0.116058     0.10025  0.00522536
           9    0.103494    0.100611  0.00465718
          10    0.094432   0.0999928  0.00423225
          11    0.094264    0.099472  0.00387941
          12    0.115554    0.100812  0.00378053
          13    0.102414    0.100935  0.00349173
          14    0.110294    0.101604  0.00330569
          15    0.091352     0.10092  0.00315517
          16    0.104006    0.101113  0.00296386
          17    0.091268    0.100534  0.00284553
          18    0.079988   0.0993927  0.00290739
          19     0.08385   0.0985746  0.00286714
          20     0.09519   0.0984054  0.00272877
