#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         161       -0.28   -0.444969  0.00967834
         162       -0.52   -0.445432  0.00962967
         163       -0.28   -0.444417  0.00962393
         164       -0.28   -0.443415  0.00961732
         165       -0.28   -0.442424  0.00960989
         166       -0.12   -0.440482  0.00974631
         167       -0.44   -0.440479  0.00968795
         168       -0.36       -0.44  0.00964212
         169       -0.52   -0.440473  0.00959668
         170       -0.52   -0.440941  0.00955163
         171       -0.52   -0.441404  0.00950695
         172       -0.52    -0.44186  0.00946265
         173       -0.44    -0.44185  0.00940796
         174       -0.44   -0.441839   0.0093539
         175       -0.12       -0.44  0.00947952
         176       -0.52   -0.440455  0.00943655
         177       -0.52   -0.440904  0.00939393
         178       -0.36   -0.440449  0.00935214
         179       -0.44   -0.440447   0.0092999
         180       -0.44   -0.440444  0.00924823
         181       -0.44   -0.440442  0.00919714
         182       -0.36       -0.44  0.00915722
         183       -0.44       -0.44  0.00910718
         184       -0.36   -0.439565  0.00906805
         185       -0.52       -0.44  0.00902945
         186       -0.52    -0.44043  0.00899115
         187        -0.6   -0.441283  0.00898347
         188       -0.36   -0.440851  0.00894608
         189       -0.52    -0.44127  0.00890854
         190       -0.44   -0.441263  0.00886166
         191       -0.36   -0.440838  0.00882547
         192       -0.44   -0.440833  0.00877951
         193       -0.44   -0.440829  0.00873402
         194       -0.44   -0.440825    0.008689
         195       -0.52   -0.441231  0.00865392
         196       -0.36   -0.440816  0.00861969
         197       -0.28       -0.44   0.0086145
         198       -0.52   -0.440404  0.00858046
         199       -0.52   -0.440804  0.00854666
         200       -0.52     -0.4412   0.0085131
         201       -0.44   -0.441194  0.00847074
         202       -0.52   -0.441584  0.00843779
         203       -0.28   -0.440788  0.00843368
         204       -0.36   -0.440392  0.00840164
         205       -0.44    -0.44039  0.00836065
         206       -0.68   -0.441553  0.00840059
         207        -0.6   -0.442319  0.00839481
         208       -0.68   -0.443462  0.00843186
         209       -0.44   -0.443445  0.00839153
         210       -0.44   -0.443429  0.00835159
         211       -0.52   -0.443791  0.00831989
         212       -0.36   -0.443396  0.00829003
         213       -0.36   -0.443005  0.00826035
         214        -0.6   -0.443738  0.00825426
         215       -0.44   -0.443721  0.00821589
         216       -0.28   -0.442963  0.00821274
         217       -0.44   -0.442949   0.0081749
         218       -0.52   -0.443303  0.00814504
         219        -0.2   -0.442192  0.00818326
         220        -0.6   -0.442909  0.00817745
         221        -0.6    -0.44362  0.00817128
         222       -0.44   -0.443604  0.00813449
         223       -0.28    -0.44287  0.00813103
         224       -0.52   -0.443214  0.00810202
         225        -0.6   -0.443911  0.00809592
         226       -0.68   -0.444956  0.00812721
         227       -0.52   -0.445286  0.00809813
         228       -0.52   -0.445614  0.00806924
         229       -0.44    -0.44559  0.00803404
         230        -0.6   -0.446261  0.00802711
         231       -0.52    -0.44658   0.0079987
         232       -0.28   -0.445862  0.00799639
         233       -0.36   -0.445494  0.00797056
         234       -0.36   -0.445128  0.00794486
         235        -0.6   -0.445787  0.00793834
         236       -0.44   -0.445763  0.00790474
         237       -0.44   -0.445738  0.00787143
         238       -0.36   -0.445378  0.00784659
         239        -0.6   -0.446025  0.00784039
         240        -0.6   -0.446667  0.00783392
         241        -0.6   -0.447303  0.00782721
         242       -0.44   -0.447273  0.00779493
         243       -0.52   -0.447572  0.00776859
         244       -0.44   -0.447541  0.00773682
         245       -0.68    -0.44849   0.0077632
         246       -0.52    -0.44878  0.00773708
         247       -0.52   -0.449069  0.00771113
         248       -0.76   -0.450323  0.00778129
         249       -0.52   -0.450602  0.00775507
         250       -0.68    -0.45152  0.00777815
         251       -0.52   -0.451793  0.00775194
         252        -0.6   -0.452381  0.00774346
         253       -0.44   -0.452332  0.00771301
         254       -0.52   -0.452598  0.00768724
         255        -0.6   -0.453176  0.00767879
         256       -0.68   -0.454062  0.00769975
         257       -0.68   -0.454942  0.00771981
         258        -0.6   -0.455504  0.00771034
         259       -0.52   -0.455753  0.00768459
         260       -0.52      -0.456    0.007659
         261       -0.52   -0.456245  0.00763358
         262       -0.44   -0.456183   0.0076047
         263       -0.44   -0.456122  0.00757603
         264        -0.6   -0.456667  0.00756691
         265        -0.6   -0.457208  0.00755767
         266       -0.44   -0.457143  0.00752953
         267       -0.44   -0.457079   0.0075016
         268       -0.44   -0.457015  0.00747388
         269       -0.44   -0.456952  0.00744637
         270       -0.44   -0.456889  0.00741905
         271       -0.28   -0.456236  0.00742033
         272       -0.28   -0.455588  0.00742129
         273       -0.52   -0.455824  0.00739785
         274       -0.44   -0.455766  0.00737108
         275       -0.52      -0.456  0.00734797
         276       -0.52   -0.456232  0.00732501
         277       -0.36   -0.455884   0.0073068
         278       -0.52   -0.456115  0.00728415
         279       -0.44   -0.456057  0.00725828
         280       -0.28   -0.455429  0.00725954
         281       -0.44   -0.455374  0.00723391
         282       -0.28   -0.454752  0.00723494
         283       -0.44     -0.4547  0.00720956
         284       -0.52    -0.45493  0.00718784
         285       -0.28   -0.454316  0.00718878
         286        -0.6   -0.454825  0.00718167
         287       -0.36   -0.454495  0.00716424
         288       -0.28   -0.453889  0.00716494
         289       -0.52   -0.454118   0.0071438
         290       -0.28   -0.453517  0.00714435
         291       -0.36   -0.453196  0.00712703
         292        -0.2   -0.452329  0.00715517
         293       -0.36   -0.452014  0.00713769
         294       -0.52   -0.452245  0.00711715
         295        -0.6   -0.452746  0.00711063
         296        -0.6   -0.453243  0.00710399
         297       -0.28    -0.45266  0.00710398
         298       -0.52   -0.452886  0.00708373
         299       -0.52    -0.45311   0.0070636
         300       -0.52   -0.453333  0.00704357
         301       -0.44   -0.453289  0.00702031
         302       -0.04   -0.451921   0.0071292
         303       -0.44   -0.451881  0.00710578
         304       -0.44   -0.451842  0.00708251
         305       -0.52   -0.452066  0.00706281
         306        -0.6   -0.452549  0.00705626
         307       -0.36   -0.452248  0.00703971
         308       -0.44   -0.452208  0.00701697
         309        -0.6   -0.452686  0.00701054
         310        -0.6   -0.453161  0.00700401
         311       -0.52   -0.453376  0.00698479
         312       -0.52    -0.45359  0.00696567
         313       -0.52   -0.453802  0.00694664
         314       -0.36   -0.453503  0.00693094
         315       -0.28   -0.452952  0.00693079
         316       -0.28   -0.452405  0.00693043
         317       -0.52   -0.452618  0.00691185
         318       -0.36   -0.452327  0.00689625
         319       -0.36   -0.452038   0.0068807
         320       -0.52    -0.45225  0.00686247
         321       -0.68    -0.45296  0.00687768
         322        -0.6   -0.453416  0.00687146
         323       -0.52   -0.453622  0.00685328
         324       -0.44    -0.45358  0.00683225
         325       -0.36   -0.453292   0.0068173
         326       -0.44   -0.453252  0.00679651
         327       -0.44   -0.453211  0.00677584
         328       -0.44   -0.453171   0.0067553
         329       -0.12   -0.452158  0.00681025
         330       -0.36   -0.451879  0.00679534
         331       -0.36   -0.451601  0.00678048
         332       -0.52   -0.451807  0.00676318
         333        -0.2   -0.451051  0.00678501
         334       -0.36   -0.450778  0.00677017
         335       -0.36   -0.450507  0.00675539
         336       -0.52   -0.450714  0.00673845
         337       -0.36   -0.450445  0.00672382
         338        -0.6   -0.450888  0.00671847
         339       -0.52   -0.451091  0.00670175
         340       -0.52   -0.451294   0.0066851
         341       -0.52   -0.451496  0.00666853
         342       -0.52   -0.451696  0.00665204
         343       -0.68   -0.452362  0.00666587
         344       -0.68   -0.453023  0.00667925
         345       -0.28   -0.452522  0.00667869
         346       -0.52   -0.452717  0.00666224
         347       -0.52   -0.452911  0.00664586
         348        -0.6   -0.453333  0.00664019
         349       -0.36   -0.453066  0.00662655
         350       -0.44   -0.453029  0.00660772
         351        -0.6   -0.453447  0.00660215
         352       -0.44   -0.453409   0.0065835
         353       -0.12   -0.452465  0.00663226
         354       -0.44   -0.452429  0.00661362
         355       -0.52    -0.45262  0.00659772
         356       -0.36    -0.45236  0.00658432
         357       -0.68   -0.452997  0.00659668
         358       -0.36   -0.452737  0.00658337
         359        -0.2   -0.452033  0.00660256
         360       -0.52   -0.452222  0.00658692
         361       -0.44   -0.452188  0.00656876
         362       -0.52   -0.452376  0.00655329
         363       -0.52   -0.452562  0.00653788
         364       -0.44   -0.452527  0.00652001
         365       -0.52   -0.452712  0.00650477
         366       -0.44   -0.452678  0.00648709
         367       -0.52   -0.452861    0.006472
         368       -0.44   -0.452826  0.00645451
         369        -0.6   -0.453225  0.00644933
         370       -0.68   -0.453838  0.00646096
         371       -0.76   -0.454663  0.00649603
         372        -0.6   -0.455054  0.00649031
         373       -0.68   -0.455657  0.00650086
         374       -0.52   -0.455829  0.00648576
         375       -0.44   -0.455787   0.0064686
         376       -0.44   -0.455745  0.00645153
         377       -0.36   -0.455491  0.00643942
         378       -0.52   -0.455661  0.00642464
         379       -0.44    -0.45562  0.00640782
         380       -0.28   -0.455158  0.00640761
         381        -0.6   -0.455538  0.00640206
         382       -0.52   -0.455707  0.00638752
         383       -0.28   -0.455248   0.0063873
         384       -0.44   -0.455208  0.00637079
         385       -0.36   -0.454961  0.00635904
         386       -0.36   -0.454715  0.00634732
         387       -0.28   -0.454264  0.00634695
         388       -0.28   -0.453814  0.00634647
         389        -0.6    -0.45419  0.00634127
         390       -0.52   -0.454359  0.00632725
         391        -0.6   -0.454731  0.00632202
         392       -0.36    -0.45449  0.00631051
         393       -0.36   -0.454249  0.00629904
         394       -0.52   -0.454416  0.00628526
         395       -0.44    -0.45438  0.00626945
         396       -0.44   -0.454343  0.00625373
         397       -0.52   -0.454509  0.00624016
         398       -0.44   -0.454472  0.00622459
         399       -0.76   -0.455238  0.00625591
         400       -0.52     -0.4554  0.00624236
         401       -0.36   -0.455162  0.00623133
         402       -0.52   -0.455323  0.00621791
         403       -0.44   -0.455285   0.0062026
         404       -0.44   -0.455248  0.00618736
         405       -0.44    -0.45521   0.0061722
         406       -0.52   -0.455369  0.00615906
         407       -0.52   -0.455528  0.00614598
         408       -0.44    -0.45549  0.00613103
         409       -0.36   -0.455257  0.00612048
         410       -0.36   -0.455024  0.00610996
         411       -0.52   -0.455182  0.00609714
         412       -0.36   -0.454951  0.00608672
         413        -0.6   -0.455303   0.0060821
         414       -0.44   -0.455266  0.00606753
         415       -0.36   -0.455036  0.00605725
         416       -0.28   -0.454615  0.00605728
         417       -0.28   -0.454197  0.00605721
         418        -0.2   -0.453589  0.00607317
         419       -0.68   -0.454129  0.00608267
         420       -0.76   -0.454857  0.00611163
         421        -0.6   -0.455202  0.00610683
         422        -0.6   -0.455545  0.00610199
         423       -0.68   -0.456076  0.00611059
         424        -0.6   -0.456415   0.0061056
         425       -0.52   -0.456565  0.00609307
         426        -0.6   -0.456901  0.00608806
         427        -0.6   -0.457237  0.00608302
         428       -0.28   -0.456822  0.00608288
         429       -0.44   -0.456783  0.00606883
         430       -0.44   -0.456744  0.00605484
         431       -0.44   -0.456705  0.00604092
         432       -0.28   -0.456296  0.00604077
         433       -0.36   -0.456074  0.00603091
         434       -0.36   -0.455853  0.00602107
         435        -0.6   -0.456184  0.00601635
         436       -0.44   -0.456147  0.00600266
         437        -0.2   -0.455561  0.00601747
         438       -0.44   -0.455525  0.00600384
         439       -0.28   -0.455125  0.00600346
         440        -0.6   -0.455455  0.00599884
         441       -0.44    -0.45542  0.00598534
         442        -0.6   -0.455747  0.00598073
         443        -0.6   -0.456072  0.00597609
         444       -0.36   -0.455856  0.00596655
         445       -0.44    -0.45582  0.00595324
         446       -0.44   -0.455785     0.00594
         447       -0.28   -0.455391  0.00593972
         448        -0.2   -0.454821  0.00595375
         449       -0.36    -0.45461  0.00594424
         450       -0.28   -0.454222  0.00594368
         451       -0.44   -0.454191  0.00593058
         452       -0.44   -0.454159  0.00591754
         453       -0.52   -0.454305  0.00590627
         454        -0.2   -0.453744  0.00591976
         455       -0.44   -0.453714  0.00590683
         456       -0.68   -0.454211  0.00591468
         457        -0.6    -0.45453  0.00591033
         458       -0.44   -0.454498  0.00589751
         459       -0.52   -0.454641  0.00588639
         460       -0.44   -0.454609  0.00587368
         461       -0.44   -0.454577  0.00586103
         462       -0.36   -0.454372  0.00585191
         463       -0.44   -0.454341  0.00583936
         464       -0.28   -0.453966  0.00583885
         465       -0.36   -0.453763  0.00582979
         466       -0.44   -0.453734  0.00581735
         467       -0.44   -0.453704  0.00580497
         468       -0.44   -0.453675  0.00579264
         469       -0.36   -0.453475  0.00578373
         470       -0.36   -0.453277  0.00577484
         471       -0.36   -0.453079  0.00576598
         472       -0.52    -0.45322   0.0057555
         473       -0.52   -0.453362  0.00574507
         474        -0.6   -0.453671  0.00574127
         475       -0.52   -0.453811  0.00573088
         476       -0.52    -0.45395  0.00572053
         477       -0.36   -0.453753  0.00571193
         478       -0.28   -0.453389  0.00571153
         479       -0.28   -0.453027  0.00571107
         480       -0.36   -0.452833  0.00570246
         481        -0.2   -0.452308  0.00571477
         482       -0.36   -0.452116  0.00570613
         483       -0.44   -0.452091  0.00569437
         484       -0.52   -0.452231  0.00568433
         485       -0.36   -0.452041  0.00567579
         486        0.04   -0.451029   0.0057537
         487       -0.28   -0.450678  0.00575259
         488       -0.44   -0.450656  0.00574085
         489       -0.36    -0.45047   0.0057321
         490        -0.2   -0.449959  0.00574315
         491       -0.36   -0.449776  0.00573437
         492        -0.6   -0.450081  0.00573084
         493       -0.44   -0.450061  0.00571925
         494        -0.6   -0.450364  0.00571572
         495       -0.52   -0.450505  0.00570591
         496        -0.6   -0.450806  0.00570236
         497       -0.28   -0.450463  0.00570123
         498       -0.28    -0.45012  0.00570005
         499        -0.6   -0.450421  0.00569654
         500       -0.68    -0.45088  0.00570362
         501       -0.68   -0.451337  0.00571054
         502       -0.76   -0.451952  0.00573217
         503       -0.68   -0.452406  0.00573867
         504       -0.52    -0.45254  0.00572886
         505       -0.52   -0.452673  0.00571907
