#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.08759     2.08759           0
           2     2.07447     2.08103  0.00463948
           3     2.02692     2.06299   0.0150495
           4     2.08711     2.06902   0.0124364
           5     1.98732     2.05268   0.0176798
           6     2.06193     2.05422   0.0148002
           7     1.97757     2.04327   0.0162396
           8     2.00067     2.03795   0.0150575
           9     1.98248     2.03178   0.0145912
          10     2.00701     2.02931   0.0133407
          11     2.05847     2.03196   0.0123886
          12     2.14722     2.04156   0.0146128
          13     2.03191     2.04082   0.0135076
          14     2.05334     2.04172   0.0125723
          15     2.00224     2.03908   0.0120065
          16     1.99248     2.03617   0.0116041
          17     2.03478     2.03609   0.0109218
          18     2.08409     2.03876   0.0106356
          19     2.06801     2.04029   0.0101867
          20      2.0344        2.04  0.00968163
