#   N_BLOCK:  ACCEPTANCE:
           1    0.457778
           2    0.459212
           3    0.459052
           4    0.458883
           5    0.458992
           6    0.459149
           7    0.459104
           8    0.459134
           9    0.459271
          10    0.459217
          11    0.459278
          12    0.459164
          13    0.459176
          14    0.459116
          15    0.459141
          16    0.459063
          17    0.459061
          18    0.458986
          19    0.458829
          20    0.458865
