#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.256691    0.256691           0
           2     0.25991    0.258301  0.00113778
           3    0.256741    0.257781  0.00086921
           4     0.25833    0.257918 0.000662677
           5    0.258052    0.257945 0.000530683
           6    0.263948    0.258945  0.00101479
           7    0.259211    0.258983 0.000870531
           8    0.260547    0.259179 0.000783345
           9    0.262177    0.259512 0.000763848
          10     0.25506    0.259067 0.000806853
          11    0.259903    0.259143  0.00073708
          12    0.263618    0.259516  0.00076419
          13    0.258022    0.259401 0.000713988
          14    0.261818    0.259573 0.000683554
          15    0.262326    0.259757 0.000662164
          16    0.262383    0.259921 0.000640795
          17    0.257147    0.259758 0.000623537
          18    0.256884    0.259598 0.000608989
          19    0.256387    0.259429 0.000599932
          20    0.261495    0.259533 0.000578757
