#   N_BLOCK:  ACCEPTANCE:
           1     0.43028
           2    0.431797
           3    0.431766
           4    0.431695
           5    0.431632
           6    0.431707
           7     0.43146
           8     0.43141
           9     0.43153
          10    0.431392
          11    0.431525
          12     0.43151
          13    0.431542
          14     0.43154
          15    0.431632
          16    0.431672
          17    0.431797
          18    0.431717
          19    0.431667
          20    0.431704
