#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.280924    0.280924           0
           2    0.281037    0.280981 3.99259e-05
           3    0.279916    0.280626 0.000290935
           4    0.281584    0.280865 0.000301154
           5    0.281752    0.281043 0.000288468
           6     0.27988    0.280849 0.000298486
           7    0.283766    0.281266 0.000462905
           8       0.282    0.281357 0.000414032
           9    0.279767    0.281181 0.000404004
          10    0.281904    0.281253 0.000370029
          11    0.280978    0.281228 0.000337231
          12    0.286923    0.281703 0.000549588
          13    0.287434    0.282144 0.000660878
          14    0.285491    0.282383 0.000655495
          15    0.277875    0.282082  0.00067718
          16    0.286809    0.282378  0.00069632
          17    0.281642    0.282334 0.000656701
          18    0.278166    0.282103 0.000659788
          19    0.280009    0.281993 0.000634197
          20     0.28737    0.282261 0.000657013
