#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.052064    0.052064           0
           2     0.03897    0.045517  0.00462943
           3    0.044498   0.0451773  0.00309872
           4    0.053596    0.047282  0.00295354
           5     0.04408   0.0466416  0.00243127
           6     0.03028   0.0439147  0.00320963
           7    0.052132   0.0450886    0.002958
           8    0.039828    0.044431  0.00266034
           9     0.03748   0.0436587  0.00247432
          10    0.043078   0.0436006  0.00222757
          11    0.036972    0.042998  0.00210499
          12    0.043826    0.043067  0.00193071
          13     0.04024   0.0428495  0.00179439
          14    0.032866   0.0421364  0.00180236
          15    0.043098   0.0422005  0.00168334
          16    0.044276   0.0423303  0.00158312
          17    0.040886   0.0422453  0.00149228
          18    0.046796   0.0424981  0.00143063
          19     0.04441   0.0425987  0.00135887
          20    0.038854   0.0424115  0.00130376
