#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.569724   -0.569724           0
           2   -0.565728   -0.567726   0.0014128
           3   -0.568632   -0.568028 0.000973609
           4   -0.569672   -0.568439 0.000812338
           5   -0.568412   -0.568434 0.000649888
           6   -0.568396   -0.568427 0.000541604
           7   -0.570504   -0.568724 0.000539397
           8    -0.56804   -0.568639 0.000478701
           9    -0.56714   -0.568472 0.000453544
          10   -0.568472   -0.568472  0.00040819
          11   -0.566532   -0.568296 0.000407404
          12   -0.569272   -0.568377 0.000381492
          13    -0.56788   -0.568339 0.000354057
          14    -0.56936   -0.568412 0.000336197
          15    -0.56714   -0.568327 0.000324298
          16   -0.567712   -0.568289 0.000306298
          17    -0.56728   -0.568229 0.000293969
          18   -0.570364   -0.568348 0.000300612
          19   -0.569172   -0.568391 0.000287903
          20   -0.567236   -0.568333 0.000279242
