#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.583564    0.583564           0
           2    0.653866    0.618715   0.0248555
           3      0.5648    0.600743   0.0221336
           4    0.523794    0.581506   0.0235186
           5    0.564692    0.578143   0.0190538
           6    0.569434    0.576692   0.0159333
           7    0.535368    0.570788   0.0147102
           8    0.622216    0.577217   0.0142068
           9    0.516438    0.570464   0.0141425
          10    0.527174    0.566135   0.0133744
          11     0.47002    0.557397    0.014739
          12    0.643646    0.564584   0.0151622
          13    0.580202    0.565786   0.0140434
          14    0.613328    0.569182   0.0134446
          15     0.47606    0.562973    0.013908
          16     0.60511    0.565607   0.0132857
          17    0.532646    0.563668   0.0126449
          18     0.54407    0.562579   0.0119892
          19    0.536408    0.561202    0.011437
          20    0.570798    0.561682   0.0108752
