#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.455635    0.455635           0
           2    0.442868    0.449251  0.00451371
           3    0.411679    0.436727   0.0106594
           4    0.418952    0.432283  0.00887265
           5     0.44259    0.434345  0.00733367
           6     0.42632    0.433007  0.00623215
           7    0.415544    0.430512  0.00581981
           8    0.404098    0.427211  0.00595578
           9    0.454694    0.430264  0.00602623
          10    0.395863    0.426824   0.0063298
          11    0.439893    0.428012  0.00586481
          12     0.41869    0.427235  0.00542728
          13    0.439433    0.428174  0.00509025
          14    0.397509    0.425983  0.00517651
          15    0.434896    0.426577  0.00486539
          16    0.419008    0.426104  0.00458425
          17    0.434758    0.426613  0.00434275
          18    0.388379    0.424489  0.00459169
          19    0.438953     0.42525  0.00441267
          20    0.440177    0.425997  0.00425468
