#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     32.2334     32.2334           0
           2     34.1087      33.171    0.663033
           3      32.231     32.8577    0.510732
           4     32.4037     32.7442    0.395459
           5      30.633     32.3219    0.492657
           6     35.9941      32.934    0.693321
           7     29.7643     32.4812    0.727263
           8     30.1916      32.195    0.690375
           9     37.5642     32.7915    0.832435
          10     32.6821     32.7806    0.749264
          11     32.4696     32.7523    0.681682
          12      32.673     32.7457    0.624907
          13     36.8827     33.0639    0.652855
          14     26.3191     32.5822    0.763568
          15     37.6286     32.9186    0.783281
          16     33.8391     32.9761    0.736436
          17     34.2558     33.0514    0.696953
          18     29.5462     32.8567    0.684898
          19     31.2332     32.7712     0.65416
          20     32.1455     32.7399      0.6222
