#   N_BLOCK:  ACCEPTANCE:
           1    0.127897
           2    0.128874
           3    0.129206
           4    0.129249
           5    0.128748
           6    0.128694
           7       0.129
           8    0.129267
           9    0.129371
          10    0.129129
          11    0.129054
          12    0.128829
          13     0.12867
          14    0.128973
          15    0.129213
          16    0.129192
          17    0.129286
          18    0.129288
          19    0.129098
          20    0.129052
