#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.215578    0.215578           0
           2    0.215118    0.215348 0.000162762
           3    0.213602    0.214766 0.000487474
           4    0.208308    0.213152  0.00144511
           5    0.213037    0.213129  0.00115627
           6    0.209327    0.212495  0.00112381
           7    0.214082    0.212722 0.000985863
           8    0.213835    0.212861 0.000872404
           9    0.211554    0.212716 0.000787468
          10    0.214194    0.212863 0.000722456
          11    0.212992    0.212875 0.000656873
          12    0.214323    0.212996 0.000613117
          13    0.216726    0.213283 0.000629512
          14    0.212675    0.213239 0.000586043
          15    0.210825    0.213078 0.000568638
          16     0.21034    0.212907 0.000558263
          17    0.212562    0.212887 0.000525794
          18    0.206831     0.21255 0.000594569
          19    0.214312    0.212643 0.000570455
          20    0.216799    0.212851 0.000578542
