#   N_BLOCK:  ACCEPTANCE:
           1    0.513499
           2    0.513647
           3    0.513383
           4    0.513175
           5    0.513253
           6    0.513217
           7    0.512937
           8    0.513026
           9    0.513061
          10    0.513085
          11    0.513098
          12    0.513114
          13    0.513142
          14    0.513225
          15    0.513197
          16    0.513029
          17    0.512964
          18    0.512947
          19    0.512906
          20    0.512919
