#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.52045     1.52045           0
           2     1.45839     1.48942   0.0219441
           3     1.49568      1.4915   0.0147282
           4     1.54814     1.50566   0.0165042
           5     1.51837     1.50821   0.0133975
           6     1.46149     1.50042   0.0132349
           7     1.52429     1.50383   0.0117754
           8     1.50804     1.50436   0.0103152
           9     1.53429     1.50768  0.00969063
          10     1.49502     1.50642  0.00880395
          11      1.5118     1.50691  0.00801719
          12     1.53475     1.50923  0.00767758
          13     1.54899     1.51228  0.00767214
          14     1.55008     1.51498  0.00758434
          15     1.46945     1.51195  0.00766222
          16      1.5046     1.51149  0.00719709
          17     1.47805     1.50952  0.00703743
          18     1.48872     1.50837  0.00674069
          19     1.52626     1.50931  0.00645137
          20     1.50117      1.5089  0.00614161
