#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     46.3833     46.3833           0
           2     43.2371     44.8102     1.11234
           3     39.6406      43.087     1.59046
           4     39.4862     42.1868     1.42501
           5     39.6722     41.6839     1.22555
           6     46.3954     42.4691     1.24776
           7     45.0387     42.8362      1.1222
           8     38.3411     42.2743     1.11374
           9     45.7023     42.6552     1.05311
          10     46.5584     43.0455     1.01757
          11     41.3615     42.8924    0.936506
          12     44.2536     43.0059    0.865306
          13     52.1305     43.7078     1.04535
          14     39.8913     43.4352      1.0056
          15     47.1936     43.6857    0.969271
          16     46.4724     43.8599    0.924207
          17     46.9961     44.0444    0.888063
          18     41.0517     43.8781    0.854148
          19     41.3044     43.7426    0.819864
          20     46.6787     43.8894    0.791904
