#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.426995    0.426995           0
           2    0.414397    0.420696  0.00445419
           3    0.420627    0.420673  0.00296952
           4     0.43978     0.42545  0.00469818
           5    0.417608    0.423881  0.00401176
           6    0.430587    0.424999  0.00349533
           7     0.41501    0.423572  0.00327433
           8    0.418509    0.422939  0.00292556
           9    0.430955     0.42383   0.0027327
          10    0.428094    0.424256  0.00249247
          11    0.423228    0.424163  0.00226764
          12    0.421058    0.423904  0.00209338
          13    0.419053    0.423531  0.00196532
          14    0.431401    0.424093  0.00190364
          15    0.417783    0.423672  0.00182263
          16    0.424881    0.423748  0.00171028
          17    0.433778    0.424338  0.00170842
          18    0.431913    0.424759  0.00166454
          19    0.420317    0.424525  0.00159327
          20    0.424643    0.424531  0.00151361
