#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.50134     8.50134           0
           2     7.82493     8.16313    0.239146
           3     8.53118     8.28582    0.188287
           4     8.01691     8.21859    0.152746
           5     8.66959     8.30879    0.146427
           6     8.22314     8.29452    0.122716
           7     8.53408     8.32874    0.109854
           8     9.19528     8.43706    0.139663
           9     8.60563     8.45579    0.125394
          10     8.06923     8.41713    0.118664
          11     9.06604     8.47612    0.121659
          12     8.45245     8.47415    0.111537
          13     7.76106      8.4193    0.115661
          14     8.79379     8.44605     0.11045
          15     8.27728      8.4348    0.103658
          16     8.65897     8.44881   0.0981217
          17     8.81161     8.47015   0.0946423
          18     8.04562     8.44656   0.0922763
          19     9.10056     8.48098   0.0936196
          20     7.71003     8.44244    0.096549
