#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -0.41157   -0.461412   0.0166576
         153   -0.425819   -0.461179   0.0165503
         154   -0.421258    -0.46092   0.0164449
         155   -0.403583    -0.46055   0.0163429
         156   -0.352848    -0.45986   0.0162528
         157   -0.356163   -0.459199   0.0161627
         158    -0.41071   -0.458893   0.0160633
         159   -0.458291   -0.458889   0.0159622
         160   -0.409897   -0.458583   0.0158654
         161   -0.378916   -0.458088   0.0157746
         162   -0.354371   -0.457447   0.0156902
         163   -0.322691   -0.456621   0.0156157
         164   -0.312954   -0.455745    0.015545
         165   -0.320616   -0.454926   0.0154724
         166   -0.353439   -0.454314   0.0153913
         167   -0.370303   -0.453811   0.0153073
         168   -0.366915   -0.453294   0.0152249
         169   -0.351179    -0.45269   0.0151468
         170   -0.354147    -0.45211   0.0150688
         171   -0.350116   -0.451514   0.0149925
         172   -0.369657   -0.451038   0.0149129
         173   -0.393018   -0.450702   0.0148304
         174   -0.440261   -0.450642   0.0147453
         175   -0.421741   -0.450477    0.014662
         176   -0.427755   -0.450348   0.0145793
         177   -0.400878   -0.450069   0.0144996
         178   -0.399135   -0.449783   0.0144209
         179   -0.425692   -0.449648    0.014341
         180   -0.459996   -0.449705   0.0142614
         181   -0.475802    -0.44985   0.0141834
         182   -0.451144   -0.449857   0.0141055
         183   -0.417801   -0.449682   0.0140295
         184   -0.379819   -0.449302   0.0139584
         185   -0.336943   -0.448695   0.0138961
         186   -0.340539   -0.448113   0.0138336
         187   -0.362532   -0.447655   0.0137672
         188   -0.368331   -0.447233   0.0137004
         189   -0.353496   -0.446738   0.0136369
         190   -0.346269   -0.446209   0.0135753
         191    -0.34293   -0.445668    0.013515
         192    -0.37761   -0.445314   0.0134493
         193   -0.394716   -0.445051   0.0133822
         194    -0.41991   -0.444922   0.0133138
         195   -0.432369   -0.444857   0.0132457
         196    -0.44357   -0.444851   0.0131781
         197   -0.459185   -0.444924   0.0131114
         198   -0.422564   -0.444811   0.0130457
         199   -0.396023   -0.444566   0.0129824
         200   -0.393933   -0.444312     0.01292
         201   -0.402788   -0.444106   0.0128574
         202   -0.409639   -0.443935   0.0127948
         203   -0.415708   -0.443796   0.0127326
         204   -0.407435   -0.443618   0.0126714
         205   -0.402576   -0.443418   0.0126112
         206   -0.412578   -0.443268   0.0125508
         207   -0.404477   -0.443081   0.0124916
         208   -0.386402   -0.442808   0.0124345
         209   -0.388807    -0.44255   0.0123777
         210   -0.387737   -0.442289   0.0123215
