#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         169     1.94808     2.04917   0.0150808
         170     1.95089     2.04859   0.0150032
         171     1.94664       2.048   0.0149273
         172     1.96627     2.04752   0.0148481
         173     1.98963     2.04719    0.014766
         174     2.03682     2.04713   0.0146813
         175     2.01854     2.04697   0.0145983
         176     2.02461     2.04684   0.0145159
         177     1.99744     2.04656   0.0144365
         178     1.99578     2.04627   0.0143583
         179     2.02213     2.04614   0.0142787
         180     2.05648      2.0462   0.0141995
         181      2.0724     2.04634   0.0141218
         182     2.04788     2.04635   0.0140442
         183     2.01471     2.04618   0.0139685
         184     1.97675      2.0458   0.0138977
         185     1.93381     2.04519   0.0138357
         186     1.93728     2.04461   0.0137735
         187     1.95919     2.04416   0.0137074
         188     1.96503     2.04374    0.013641
         189     1.95044     2.04324   0.0135777
         190     1.94304     2.04272   0.0135165
         191      1.9397     2.04218   0.0134565
         192     1.97429     2.04182    0.013391
         193     1.99145     2.04156   0.0133242
         194     2.01643     2.04143   0.0132561
         195     2.02916     2.04137   0.0131883
         196     2.04018     2.04136    0.013121
         197     2.05578     2.04144   0.0130546
         198      2.0197     2.04133   0.0129892
         199     1.99257     2.04108   0.0129262
         200     1.99051     2.04083    0.012864
         201     1.99944     2.04062   0.0128017
         202      2.0062     2.04045   0.0127394
         203     2.01245     2.04031   0.0126774
         204     2.00418     2.04014   0.0126165
         205     1.99933     2.03994   0.0125566
         206     2.00913     2.03979   0.0124965
         207     2.00131      2.0396   0.0124375
         208     1.98313     2.03933   0.0123807
         209     1.98563     2.03907   0.0123241
         210      1.9847     2.03882   0.0122681
         211     1.97644     2.03852   0.0122136
         212     1.98576     2.03827   0.0121585
         213     2.01128     2.03814   0.0121021
         214     1.99991     2.03797   0.0120468
         215       1.998     2.03778   0.0119922
         216     1.99187     2.03757   0.0119386
         217     2.00062      2.0374   0.0118848
         218     1.94484     2.03697   0.0118379
         219      1.9366     2.03651   0.0117927
         220     1.94937     2.03612   0.0117457
         221     1.96682      2.0358   0.0116968
         222     1.95477     2.03544   0.0116498
         223     1.97509     2.03517   0.0116007
         224     1.96717     2.03487   0.0115528
         225     1.95245      2.0345   0.0115073
         226     1.94589     2.03411   0.0114631
         227     1.95401     2.03375    0.011418
         228      1.9962     2.03359   0.0113691
         229     2.02417     2.03355   0.0113195
         230     2.03266     2.03354   0.0112703
         231     2.06295     2.03367   0.0112222
         232     2.05345     2.03376   0.0111742
         233     2.04609     2.03381   0.0111264
         234     2.02829     2.03379   0.0110788
         235     2.02479     2.03375   0.0110318
         236     2.03014     2.03373    0.010985
         237     2.04065     2.03376   0.0109387
         238     2.06054     2.03387   0.0108933
         239     2.04091      2.0339   0.0108478
         240     2.02722     2.03388   0.0108026
         241     2.00743     2.03377   0.0107584
         242     2.02018     2.03371   0.0107141
         243     2.00699      2.0336   0.0106705
         244     2.04401     2.03364   0.0106269
         245     2.05437     2.03373   0.0105838
         246     2.05165      2.0338   0.0105411
         247     2.01958     2.03374   0.0104986
         248     1.99659     2.03359   0.0104573
         249     1.96854     2.03333   0.0104186
         250     1.98975     2.03316   0.0103783
