#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.96746     2.96746           0
           2     2.91973      2.9436   0.0168726
           3     2.93289     2.94003   0.0116199
           4     2.97607     2.94904   0.0116977
           5     3.01215     2.96166   0.0146638
           6     2.99057     2.96648   0.0129875
           7     3.15985      2.9941   0.0278938
           8     3.06444     3.00289   0.0257554
           9     2.92887     2.99467   0.0241715
          10     2.86768     2.98197   0.0248674
          11     3.00695     2.98424   0.0227101
          12     2.97247     2.98326   0.0208388
          13     2.84821     2.97287   0.0216711
          14     2.96289     2.97216   0.0201349
          15     2.97307     2.97222   0.0187926
          16     2.91997     2.96895   0.0178996
          17     3.00619     2.97114   0.0169802
          18     2.96671      2.9709   0.0160386
          19     2.85193     2.96464   0.0163711
          20     2.92131     2.96247   0.0156952
