#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.440946    0.440946           0
           2    0.419194     0.43007   0.0076906
           3     0.46444    0.441526   0.0106672
           4    0.444742     0.44233  0.00803064
           5    0.432055    0.440275  0.00668229
           6    0.436649    0.439671  0.00559583
           7    0.424897     0.43756  0.00517918
           8    0.432127    0.436881   0.0045761
           9    0.449223    0.438252  0.00426816
          10    0.425966    0.437024  0.00401429
          11    0.438568    0.437164  0.00365181
          12    0.442224    0.437586  0.00337174
          13    0.428739    0.436905  0.00318031
          14    0.427155    0.436209  0.00302844
          15    0.446622    0.436903  0.00290502
          16    0.440051      0.4371  0.00273011
          17    0.442758    0.437433  0.00258973
          18    0.433337    0.437205  0.00245583
          19    0.443297    0.437526  0.00234741
          20    0.416395    0.436469  0.00245631
