#   N_BLOCK:  ACCEPTANCE:
           1    0.483347
           2    0.483997
           3    0.483971
           4    0.483758
           5    0.483659
           6    0.484002
           7    0.483796
           8     0.48378
           9    0.483982
          10    0.484015
          11    0.484105
          12      0.4841
          13    0.484102
          14     0.48408
          15    0.484145
          16    0.484056
          17    0.484029
          18    0.483981
          19    0.483881
          20    0.483821
