#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.51682    -0.51682           0
           2    -0.51512    -0.51597 0.000601041
           3   -0.515468   -0.515803 0.000423347
           4   -0.518084   -0.516373 0.000587174
           5   -0.517072   -0.516513 0.000486096
           6   -0.514004   -0.516095 0.000556585
           7   -0.517668   -0.516319  0.00052048
           8   -0.517164   -0.516425 0.000466004
           9   -0.514984   -0.516265 0.000440874
          10    -0.51508   -0.516146 0.000412402
          11   -0.514888   -0.516032 0.000390456
          12    -0.51578   -0.516011 0.000358482
          13   -0.515964   -0.516007 0.000330925
          14   -0.517296   -0.516099 0.000319832
          15    -0.51518   -0.516038 0.000304327
          16   -0.517472   -0.516128 0.000298209
          17    -0.51696   -0.516177 0.000284658
          18   -0.516964    -0.51622 0.000272183
          19   -0.518044   -0.516316 0.000274258
          20   -0.517432   -0.516372 0.000266156
