#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04254     0.04254           0
           2    0.033162    0.037851  0.00331562
           3     0.03898   0.0382273  0.00223167
           4    0.036988   0.0379175  0.00169512
           5    0.035736   0.0374812  0.00141113
           6    0.035314     0.03712   0.0012213
           7    0.042306   0.0378609  0.00125152
           8    0.039088   0.0380143  0.00110444
           9    0.031594   0.0373009  0.00119001
          10    0.027144   0.0362852  0.00144067
          11    0.030176   0.0357298   0.0014127
          12    0.026286   0.0349428  0.00149823
          13    0.032268   0.0347371  0.00139704
          14     0.03736   0.0349244  0.00130975
          15    0.037626   0.0351045  0.00123476
          16    0.036964   0.0352208  0.00116304
          17    0.033734   0.0351333  0.00109791
          18    0.032756   0.0350012  0.00104483
          19     0.03783   0.0351501  0.00100039
          20     0.03391   0.0350881 0.000952288
