#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.77761     1.77761           0
           2     1.77024     1.77392  0.00260539
           3     1.79022     1.77936  0.00476406
           4     1.80948     1.78689  0.00743653
           5     1.82607     1.79472  0.00919386
           6     1.78513     1.79312  0.00779943
           7     1.80693      1.7951  0.00693029
           8     1.77007     1.79197  0.00673334
           9     1.78189     1.79085  0.00607754
          10     1.78159     1.78992  0.00553985
          11     1.73158     1.78462   0.0071368
          12     1.79325     1.78534  0.00657821
          13     1.83249     1.78897  0.00700121
          14     1.80783     1.79031  0.00662956
          15     1.83965      1.7936  0.00695581
          16      1.8038     1.79424  0.00655022
          17     1.75967     1.79221   0.0064729
          18     1.80809     1.79309  0.00617316
          19     1.78256     1.79253  0.00587308
          20     1.83638     1.79473  0.00597466
