#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.431234    0.431234           0
           2    0.450147    0.440691  0.00668684
           3    0.415845    0.432409  0.00809929
           4    0.435114    0.433085  0.00610264
           5    0.426483    0.431765  0.00502291
           6    0.429363    0.431364  0.00420168
           7    0.431489    0.431382  0.00360148
           8    0.414494    0.429271  0.00371888
           9    0.444999    0.431019  0.00369349
          10    0.447553    0.432672  0.00367564
          11    0.423944    0.431879  0.00342605
          12    0.419261    0.430827  0.00329796
          13     0.41726    0.429784  0.00320514
          14    0.421296    0.429177    0.003033
          15    0.427853    0.429089  0.00283208
          16    0.413588     0.42812  0.00281592
          17    0.443021    0.428997  0.00278335
          18    0.449336    0.430127  0.00284886
          19    0.456006    0.431489  0.00300696
          20    0.445329    0.432181  0.00293516
