#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      23.397      23.397           0
           2     24.9205     24.1588    0.538644
           3     22.9099     23.7425    0.494457
           4      22.212     23.3598     0.49732
           5     24.6783     23.6235    0.462515
           6     25.6125      23.955     0.49003
           7     23.5807     23.9016    0.422933
           8     24.2023     23.9392    0.371733
           9     26.0101     24.1693     0.39528
          10      26.623     24.4146    0.425142
          11     24.3875     24.4122      0.3865
          12     25.7086     24.5202    0.369081
          13     22.0174     24.3277    0.387664
          14     22.8326     24.2209    0.374395
          15     25.4775     24.3047    0.358686
          16     23.0494     24.2262    0.344742
          17     24.2153     24.2256    0.324464
          18     26.1805     24.3342    0.324105
          19     26.6042     24.4536     0.32833
          20     26.2904     24.5455    0.324504
