#   N_BLOCK:  ACCEPTANCE:
           1    0.106583
           2    0.107078
           3    0.108111
           4    0.109193
           5    0.108543
           6    0.107919
           7    0.108243
           8    0.108277
           9    0.107952
          10     0.10757
          11    0.107758
          12    0.107335
          13    0.107657
          14    0.107897
          15    0.107919
          16    0.108038
          17    0.108228
          18    0.108072
          19    0.107785
          20    0.107739
