#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.246086    0.246086           0
           2    0.259162    0.252624  0.00462306
           3     0.25719    0.254146  0.00332315
           4    0.184258    0.236674   0.0153351
           5     0.20377    0.230093    0.013607
           6    0.243296    0.232294   0.0115157
           7    0.238044    0.233115  0.00989989
           8    0.302832     0.24183   0.0118949
           9    0.230132     0.24053    0.010644
          10    0.250934     0.24157  0.00963033
          11    0.230304    0.240546  0.00880914
          12    0.261524    0.242294  0.00824668
          13    0.256372    0.243377  0.00768309
          14    0.250494    0.243886  0.00715109
          15    0.253302    0.244513  0.00670185
          16    0.185216    0.240807   0.0072355
          17    0.235554    0.240498  0.00681648
          18    0.250262    0.241041  0.00645933
          19    0.212108    0.239518  0.00629631
          20     0.21951    0.238518  0.00606044
