#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.45697     4.45697           0
           2     4.24181     4.34939   0.0760705
           3      4.4953     4.39802   0.0644119
           4     4.33741     4.38287   0.0500597
           5     4.24684     4.35566   0.0468613
           6     4.39093     4.36154   0.0394181
           7     4.55203     4.38875   0.0421458
           8     4.53941     4.40759    0.040869
           9     4.42577     4.40961   0.0363779
          10     4.51694     4.42034    0.034287
          11     4.45413     4.42341   0.0313073
          12     4.39282     4.42086    0.028802
          13      4.5482     4.43066   0.0282028
          14     4.35542     4.42528   0.0266954
          15     4.58347     4.43583   0.0269183
          16     4.62497     4.44765   0.0277102
          17     4.40639     4.44522   0.0261862
          18     4.24515     4.43411   0.0269876
          19     4.40936     4.43281   0.0255986
          20      4.3929     4.43081   0.0243963
