#   N_BLOCK:  ACCEPTANCE:
           1    0.311407
           2    0.312261
           3    0.312723
           4    0.312775
           5    0.312683
           6    0.312623
           7    0.312328
           8    0.312464
           9     0.31264
          10    0.312299
          11     0.31221
          12    0.312182
          13    0.312055
          14    0.312103
          15     0.31201
          16    0.312042
          17    0.311958
          18    0.311977
          19    0.311889
          20    0.311915
