#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.106174    0.106174           0
           2    0.114084    0.110129  0.00279661
           3    0.112348    0.110869  0.00195978
           4    0.120512    0.113279  0.00255333
           5    0.122456    0.115115  0.00262052
           6     0.08557    0.110191  0.00499748
           7    0.132346    0.113356  0.00518992
           8    0.102712    0.112025  0.00470863
           9    0.112836    0.112115  0.00418631
          10    0.108874    0.111791   0.0037802
          11    0.110356    0.111661   0.0034388
          12    0.122072    0.112528  0.00325985
          13    0.118188    0.112964  0.00303802
          14    0.124058    0.113756  0.00292255
          15    0.119242    0.114122   0.0027505
          16    0.088266    0.112506  0.00301618
          17    0.114726    0.112636  0.00284158
          18    0.103316    0.112119  0.00273049
          19    0.113964    0.112216  0.00258851
          20    0.109778    0.112094  0.00246195
