#   N_BLOCK:  ACCEPTANCE:
           1    0.258756
           2     0.25913
           3     0.25883
           4    0.258832
           5    0.258687
           6    0.258786
           7    0.258635
           8    0.259107
           9    0.259445
          10    0.259449
          11    0.259456
          12    0.259275
          13    0.259092
          14    0.259303
          15    0.259279
          16    0.259218
          17    0.259323
          18    0.259359
          19    0.259302
          20    0.259235
