#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         152     5.07633     5.07607 2.41038e-05
         153     5.07589     5.07607 2.39761e-05
         154     5.07599     5.07607 2.38265e-05
         155     5.07597     5.07607 2.36822e-05
         156     5.07619     5.07607 2.35414e-05
         157     5.07606     5.07607 2.33916e-05
         158     5.07602     5.07607 2.32457e-05
         159     5.07636     5.07607  2.3169e-05
         160     5.07594     5.07607 2.30395e-05
         161     5.07622     5.07607  2.2914e-05
         162     5.07587     5.07607 2.28081e-05
         163     5.07611     5.07607  2.2669e-05
         164     5.07639     5.07608 2.26153e-05
         165     5.07604     5.07608  2.2479e-05
         166     5.07571     5.07607  2.2453e-05
         167     5.07606     5.07607 2.23186e-05
         168     5.07606     5.07607 2.21859e-05
         169      5.0762     5.07607 2.20681e-05
         170     5.07582     5.07607  2.1989e-05
         171     5.07638     5.07607 2.19328e-05
         172     5.07549     5.07607 2.20655e-05
         173     5.07569     5.07607 2.20458e-05
         174     5.07581     5.07607 2.19702e-05
         175     5.07604     5.07607  2.1845e-05
         176     5.07605     5.07607 2.17211e-05
         177     5.07632     5.07607 2.16444e-05
         178      5.0762     5.07607 2.15356e-05
         179     5.07554     5.07607 2.16171e-05
         180     5.07605     5.07607 2.14973e-05
         181     5.07588     5.07606 2.14017e-05
         182     5.07627     5.07607 2.13141e-05
         183     5.07598     5.07607 2.12031e-05
         184     5.07637     5.07607 2.11521e-05
         185     5.07582     5.07607 2.10789e-05
         186     5.07622     5.07607 2.09823e-05
         187     5.07603     5.07607 2.08709e-05
         188     5.07635     5.07607  2.0813e-05
         189     5.07637     5.07607 2.07631e-05
         190     5.07643     5.07607 2.07398e-05
         191     5.07663     5.07607 2.08378e-05
         192     5.07579     5.07607  2.0783e-05
         193     5.07629     5.07607 2.07056e-05
         194     5.07561     5.07607 2.07368e-05
         195     5.07606     5.07607 2.06306e-05
         196     5.07671     5.07607  2.0781e-05
         197     5.07562     5.07607 2.08039e-05
         198     5.07606     5.07607  2.0699e-05
         199     5.07642     5.07607 2.06692e-05
         200     5.07607     5.07607 2.05659e-05
         201     5.07587     5.07607 2.04886e-05
         202     5.07588     5.07607  2.0409e-05
         203     5.07595     5.07607 2.03181e-05
         204     5.07634     5.07607 2.02617e-05
         205     5.07623     5.07607 2.01782e-05
         206     5.07608     5.07607 2.00803e-05
         207     5.07583     5.07607 2.00185e-05
         208     5.07677     5.07608 2.02011e-05
