#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.032732    0.032732           0
           2    0.035794    0.034263  0.00108258
           3    0.031824     0.03345 0.000980574
           4     0.02881     0.03229  0.00124501
           5    0.026508   0.0311336  0.00143591
           6     0.01959   0.0292097  0.00212519
           7    0.030188   0.0293494  0.00182618
           8     0.03785    0.030412  0.00188182
           9    0.039928   0.0314693  0.00194724
          10    0.032986    0.031621  0.00175841
          11    0.025934    0.031104  0.00167284
          12    0.026708   0.0307377  0.00157303
          13    0.037032   0.0312218  0.00152473
          14     0.02946    0.031096    0.001421
          15    0.027532   0.0308584  0.00134599
          16    0.036794   0.0312294  0.00131199
          17    0.033656   0.0313721  0.00124255
          18     0.02849    0.031212  0.00118379
          19    0.028468   0.0310676  0.00113026
          20    0.026644   0.0308464  0.00109518
