#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.933736    0.933736           0
           2     0.91427    0.924003  0.00688227
           3    0.801226    0.883077   0.0337292
           4     0.87968    0.882228   0.0253076
           5    0.821136     0.87001   0.0230073
           6    0.867238    0.869548   0.0191774
           7    0.856554    0.867691   0.0165273
           8     0.89876    0.871575   0.0149107
           9     0.91737    0.876663   0.0140955
          10     0.91053     0.88005   0.0130864
          11    0.894452    0.881359   0.0119621
          12    0.931862    0.885568   0.0116821
          13    0.900162     0.88669   0.0108373
          14    0.936592    0.890255   0.0106333
          15    0.875344    0.889261  0.00997073
          16    0.941408     0.89252  0.00986586
          17    0.938302    0.895213  0.00964608
          18    0.836486     0.89195  0.00964618
          19    0.954176    0.895225  0.00967849
          20     0.91125    0.896027  0.00922767
