#   N_BLOCK:  ACCEPTANCE:
           1    0.536864
           2    0.538248
           3    0.538038
           4    0.537825
           5    0.538074
           6    0.537941
           7    0.537716
           8    0.537687
           9    0.537701
          10    0.537622
          11    0.537649
          12    0.537543
          13    0.537631
          14    0.537692
          15    0.537709
          16    0.537715
          17    0.537683
          18    0.537606
          19    0.537653
          20    0.537616
