#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421363    0.421363           0
           2     0.42632    0.423841  0.00175255
           3    0.414476     0.42072  0.00280398
           4    0.422533    0.421173  0.00213932
           5    0.423264    0.421591  0.00175184
           6    0.414873    0.420471  0.00178213
           7    0.418792    0.420232   0.0015436
           8    0.410862     0.41906  0.00173907
           9    0.433744    0.420692  0.00218072
          10    0.406253    0.419248  0.00239341
          11    0.424869    0.419759  0.00222971
          12    0.426599    0.420329  0.00211551
          13    0.404063    0.419078  0.00229313
          14    0.430684    0.419907  0.00227426
          15    0.421421    0.420008  0.00212488
          16     0.41433    0.419653  0.00202149
          17    0.423373    0.419872  0.00191439
          18    0.432667    0.420583  0.00193552
          19    0.415321    0.420306  0.00185336
          20    0.432229    0.420902  0.00185409
