#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.099716    0.099716           0
           2    0.117594    0.108655  0.00632083
           3    0.124562    0.113957  0.00604152
           4    0.103608     0.11137  0.00505489
           5    0.135088    0.116114  0.00586128
           6    0.134206    0.119129  0.00560666
           7    0.140708    0.122212  0.00558931
           8    0.106334    0.120227  0.00523117
           9     0.09854    0.117817  0.00517524
          10    0.140738    0.120109  0.00514029
          11     0.13654    0.121603  0.00488519
          12      0.1215    0.121594   0.0044781
          13    0.125466    0.121892  0.00414352
          14    0.136112    0.122908  0.00397009
          15    0.110886    0.122107  0.00378545
          16    0.114558    0.121635  0.00357814
          17    0.134202    0.122374  0.00344318
          18    0.117722    0.122116  0.00326158
          19    0.135098    0.122799  0.00316068
          20     0.12102     0.12271   0.0030039
