#   N_BLOCK:  ACCEPTANCE:
           1    0.237984
           2     0.23844
           3     0.23822
           4    0.237809
           5    0.237591
           6    0.237448
           7    0.237705
           8    0.238041
           9    0.238268
          10    0.238147
          11    0.238279
          12    0.238209
          13    0.238118
          14    0.238212
          15    0.238081
          16    0.237991
          17    0.238033
          18    0.238119
          19    0.238035
          20    0.238068
