10000	5.02793	0	
20000	5.14722	0.119292	
30000	5.06061	0.110659	
40000	4.9886	0.106337	
50000	4.97794	0.0830554	
60000	5.01	0.0750096	
70000	5.0109	0.0634011	
80000	5.01226	0.0549236	
90000	5.02192	0.0493926	
100000	5.00796	0.0463309	
110000	5.00599	0.0419542	
120000	5.00344	0.0383836	
130000	4.99881	0.0356103	
140000	4.99154	0.0337611	
150000	4.99845	0.0321812	
160000	5.0025	0.0303737	
170000	5.00067	0.0285897	
180000	4.9973	0.0271638	
190000	4.99995	0.0258305	
200000	4.9969	0.0246942	
210000	4.99651	0.0234921	
220000	4.99903	0.0225402	
230000	4.99302	0.0223616	
240000	4.98774	0.0220499	
250000	4.99112	0.021418	
260000	4.98726	0.020938	
270000	4.99294	0.0209346	
280000	4.98995	0.0203938	
290000	4.98684	0.0199227	
300000	4.98665	0.019248	
310000	4.98916	0.0187854	
320000	4.98475	0.0187165	
330000	4.98304	0.0182208	
340000	4.98656	0.0180235	
350000	4.99063	0.0179688	
360000	4.99385	0.0177563	
370000	4.99822	0.0178151	
380000	4.99864	0.0173449	
390000	5.00307	0.0174672	
400000	5.00288	0.0170261	
410000	5.00577	0.0168559	
420000	5.00358	0.0165955	
430000	4.99987	0.0166242	
440000	5.00312	0.0165637	
450000	5.00404	0.016218	
460000	5.00335	0.0158765	
470000	5.00356	0.0155365	
480000	5.00623	0.0154416	
490000	5.01036	0.0156775	
500000	5.01321	0.0156221	
510000	5.01504	0.0154221	
520000	5.01618	0.0151652	
530000	5.01681	0.0148896	
540000	5.01419	0.0148449	
550000	5.01133	0.0148496	
560000	5.00982	0.0146595	
570000	5.00909	0.014419	
580000	5.00796	0.0142133	
590000	5.00597	0.014111	
600000	5.00643	0.0138816	
610000	5.00355	0.0139525	
620000	5.00088	0.0139834	
630000	5.0006	0.0137625	
640000	4.99823	0.0137518	
650000	4.99573	0.0137666	
660000	4.99169	0.0141474	
670000	4.99259	0.0139639	
680000	4.99227	0.0137607	
690000	4.99382	0.0136483	
700000	4.99342	0.013458	
710000	4.99452	0.0133127	
720000	4.99424	0.0131295	
730000	4.99433	0.0129487	
740000	4.99325	0.0128175	
750000	4.99491	0.0127532	
760000	4.99531	0.0125908	
770000	4.99549	0.0124275	
780000	4.99646	0.0123056	
790000	4.9973	0.0121775	
800000	4.99837	0.0120725	
810000	4.9982	0.0119238	
820000	5.00008	0.0119263	
830000	5.00224	0.0119791	
840000	5.0043	0.0120126	
850000	5.00418	0.0118711	
860000	5.00524	0.0117807	
870000	5.00526	0.0116445	
880000	5.00416	0.0115642	
890000	5.00415	0.0114335	
900000	5.00404	0.0113063	
910000	5.00607	0.0113641	
920000	5.00515	0.0112775	
930000	5.00497	0.011157	
940000	5.00735	0.0112905	
950000	5.00658	0.0111973	
960000	5.00679	0.011082	
970000	5.00632	0.010977	
980000	5.006	0.0108692	
990000	5.00555	0.0107683	
1000000	5.00446	0.0107159	
