10000	5.03087	0	
20000	5.05652	0.0256512	
30000	4.99873	0.059658	
40000	4.98668	0.0438726	
50000	5.02486	0.0511147	
60000	5.05153	0.0495254	
70000	5.03597	0.0446538	
80000	5.04641	0.0400545	
90000	5.02706	0.0402757	
100000	5.03141	0.0362851	
110000	5.03361	0.0328947	
120000	5.02092	0.0325978	
130000	5.00595	0.0335138	
140000	5.00282	0.031186	
150000	4.99912	0.029267	
160000	5.00832	0.0288813	
170000	5.01728	0.0285696	
180000	5.02506	0.0280387	
190000	5.02241	0.0266544	
200000	5.01734	0.0257904	
210000	5.01554	0.0245969	
220000	5.01782	0.0235621	
230000	5.01816	0.022517	
240000	5.01384	0.0219869	
250000	5.00446	0.0230808	
260000	5.00275	0.0222409	
270000	5.00132	0.0214493	
280000	5.00273	0.020717	
290000	5.00507	0.0201272	
300000	4.99932	0.020277	
310000	4.99635	0.0198371	
320000	4.99804	0.019282	
330000	4.99755	0.0186951	
340000	4.9948	0.0183441	
350000	4.99198	0.0180337	
360000	4.99247	0.0175323	
370000	4.99244	0.0170518	
380000	4.99384	0.0166561	
390000	4.99738	0.016605	
400000	4.99523	0.0163268	
410000	4.9925	0.0161547	
420000	4.99521	0.0159957	
430000	4.99664	0.0156843	
440000	4.99472	0.015443	
450000	4.99181	0.0153735	
460000	4.99285	0.0150711	
470000	4.99329	0.0147536	
480000	4.99589	0.0146754	
490000	4.99216	0.0148484	
500000	4.99164	0.0145576	
510000	4.99319	0.0143523	
520000	4.99531	0.0142329	
530000	4.99621	0.0139909	
540000	4.99634	0.0137299	
550000	5.00099	0.0142576	
560000	5.00205	0.0140406	
570000	5.00428	0.0139724	
580000	5.00413	0.0137302	
590000	5.00221	0.0136323	
600000	5.0018	0.0134095	
610000	5.00209	0.0131911	
620000	5.0003	0.0130999	
630000	4.99992	0.012896	
640000	5.00291	0.0130406	
650000	4.99953	0.0132742	
660000	4.99902	0.0130815	
670000	5.00189	0.0131996	
680000	4.99971	0.0131856	
690000	4.99708	0.0132569	
700000	4.99771	0.0130816	
710000	4.99682	0.0129271	
720000	4.99576	0.0127898	
730000	4.99781	0.012779	
740000	4.99854	0.012626	
750000	5	0.012542	
760000	4.99995	0.012376	
770000	5.00028	0.0122186	
780000	5.00062	0.0120657	
790000	4.99882	0.0120474	
800000	4.99863	0.0118972	
810000	4.99694	0.0118706	
820000	4.99514	0.0118626	
830000	4.99645	0.0117915	
840000	4.99715	0.0116712	
850000	4.99745	0.011537	
860000	4.99626	0.0114637	
870000	4.99532	0.0113699	
880000	4.99413	0.0113028	
890000	4.99537	0.0112431	
900000	4.99385	0.011221	
910000	4.99574	0.011258	
920000	4.99491	0.0111662	
930000	4.99376	0.0111054	
940000	4.99316	0.0110031	
950000	4.99299	0.010888	
960000	4.99411	0.0108326	
970000	4.99469	0.0107358	
980000	4.99664	0.0108033	
990000	4.99551	0.0107532	
1000000	4.99515	0.0106511	
