#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.221438    0.221438           0
           2    0.193332    0.207385  0.00993697
           3     0.22238    0.212383  0.00778084
           4    0.220652    0.214451  0.00610405
           5    0.242352    0.220031  0.00698268
           6     0.20826    0.218069  0.00608825
           7    0.243576    0.221713  0.00621399
           8    0.202568     0.21932  0.00588002
           9    0.264884    0.224382  0.00707822
          10     0.23216     0.22516  0.00641299
          11     0.22173    0.224848  0.00583757
          12    0.278826    0.229347  0.00686887
          13    0.217256    0.228416  0.00640315
          14    0.259416    0.230631  0.00631705
          15     0.25506    0.232259  0.00610224
          16    0.215148     0.23119  0.00581381
          17    0.199934    0.229351   0.0057552
          18    0.283192    0.232342  0.00616395
          19    0.222712    0.231836  0.00586033
          20     0.23946    0.232217   0.0055797
