#   N_BLOCK:  ACCEPTANCE:
           1    0.151436
           2    0.152328
           3    0.152036
           4    0.151055
           5    0.150725
           6    0.150228
           7    0.150244
           8    0.150655
           9    0.150899
          10    0.150987
          11    0.150903
          12    0.150939
          13    0.150946
          14      0.1511
          15    0.151205
          16    0.151095
          17    0.151117
          18    0.150963
          19    0.150923
          20    0.150903
