#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      15.306      15.306           0
           2     15.2287     15.2674   0.0273155
           3     15.4395     15.3247   0.0502589
           4     16.0027     15.4942    0.151557
           5     15.8748     15.5703     0.13905
           6     16.2041      15.676    0.150746
           7     15.0238     15.5828    0.155353
           8     16.0588     15.6423    0.146884
           9     14.6074     15.5273    0.169704
          10      15.052     15.4798     0.15925
          11     15.5152      15.483    0.144805
          12     14.3377     15.3876    0.161148
          13     15.2033     15.3734    0.149374
          14     14.7885     15.3316    0.144429
          15     15.3615     15.3336    0.134814
          16     15.8429     15.3654    0.130091
          17     14.7784     15.3309     0.12694
          18     16.0859     15.3729    0.126628
          19     15.7598     15.3932     0.12159
          20     15.5281        15.4    0.115697
