#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.356574    0.356574           0
           2    0.361261    0.358917  0.00165704
           3    0.357982    0.358606  0.00113361
           4    0.353479    0.357324  0.00139821
           5    0.359182    0.357696  0.00116692
           6    0.355012    0.357248  0.00105466
           7    0.361337    0.357832  0.00105338
           8    0.356344    0.357646 0.000937992
           9    0.367523    0.358744  0.00132877
          10    0.356351    0.358504  0.00121725
          11     0.36437    0.359038  0.00121778
          12    0.355377    0.358733  0.00115387
          13    0.356771    0.358582  0.00107493
          14    0.347056    0.357758  0.00127501
          15    0.365697    0.358288  0.00129519
          16    0.358009     0.35827  0.00121435
          17    0.347063    0.357611   0.0013097
          18    0.359497    0.357716  0.00124113
          19    0.355248    0.357586  0.00118258
          20    0.360073     0.35771  0.00112997
