#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.074758    0.074758           0
           2    0.071474    0.073116  0.00116107
           3    0.059568      0.0686  0.00376767
           4    0.069266   0.0687665  0.00282943
           5    0.071918   0.0693968  0.00233269
           6    0.077174    0.070693  0.00227572
           7    0.071766   0.0708463  0.00195577
           8    0.061262   0.0696483  0.00204559
           9     0.07695   0.0704596  0.00197264
          10     0.07392   0.0708056  0.00180547
          11    0.066942   0.0704544  0.00167515
          12    0.059742   0.0695617  0.00175739
          13    0.070812   0.0696578  0.00162484
          14    0.081872   0.0705303  0.00172719
          15     0.07243   0.0706569  0.00161668
          16     0.07116   0.0706884  0.00151595
          17    0.068932   0.0705851  0.00143029
          18    0.062026   0.0701096  0.00142768
          19    0.078742   0.0705639    0.001423
          20    0.064938   0.0702826  0.00137937
