#   N_BLOCK:  ACCEPTANCE:
           1    0.334258
           2    0.334942
           3    0.334904
           4    0.335518
           5    0.335447
           6    0.335551
           7    0.335431
           8    0.335645
           9    0.335818
          10    0.335646
          11    0.335644
          12    0.335619
          13    0.335489
          14    0.335686
          15    0.335691
          16     0.33579
          17    0.335713
          18    0.335716
          19    0.335631
          20     0.33571
