#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.134794    0.134794           0
           2    0.136038    0.135416  0.00043982
           3    0.131164    0.133999  0.00119382
           4    0.101708    0.125926  0.00704824
           5     0.10606    0.121953  0.00666504
           6    0.142112    0.125313  0.00634479
           7    0.117918    0.124256  0.00552563
           8    0.167616    0.129676  0.00700575
           9    0.136062    0.130386  0.00626316
          10    0.119808    0.129328  0.00572547
          11    0.118676     0.12836  0.00528623
          12    0.129268    0.128435  0.00484625
          13    0.136116    0.129026  0.00450934
          14    0.128824    0.129012  0.00418726
          15     0.11392    0.128006  0.00402717
          16    0.124284    0.127773  0.00378219
          17    0.112496    0.126874  0.00366491
          18    0.130906    0.127098  0.00346814
          19    0.110976     0.12625  0.00338782
          20    0.117812    0.125828  0.00324459
